epoch,train_loss,train_miou,val_loss,val_miou
1,0.7805653093348806,0.3502173185331222,0.794826666276524,0.3225812934583857
2,0.49176783502923166,0.426720742608575,0.8299192503094673,0.30518518033272496
3,0.40423364242620813,0.45218279463808647,0.6920870347731355,0.34044864540842934
4,0.3435786066426397,0.47866638154132446,0.6003474046138749,0.3735742922124067
5,0.31816409146400876,0.49233975986005013,0.5476231900138268,0.4020001893570201
